block_loop,reps,leftLabelT,rightLabelT,instrText,introPic,leftLabel,rightLabel,thisN,thisTrialN,thisRepN,stims,correct_key,w,h,preBlockInstrKey.keys,preBlockInstrKey.rt,preBlockInstrKey.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,preBlockInstr.started,intropic.started,preBlockInstrKey.started,preBlockInstr.stopped,trials_2.preBlockInstrKey.keys,trials_2.preBlockInstrKey.rt,trials_2.preBlockInstrKey.duration,trail.started,polygon.started,polygon.stopped,stim.started,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
IAT_block1.xlsx,1,胖图-按E键,瘦图-按I键,"接下来将进行第一部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
一会屏幕中央会先暂时出现一个十字，请注视它。
十字消失后会出现呈现一个词语
请在保证正确率的情况下尽快对其进行分类。
规则为：
胖图 - 按E键
瘦图 - 按I键
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro1.png,pic/anjianl1.png,pic/anjianr1.png,0,0,0,pic/thin2.png,i,0.796,0.622,space,8.420047708,None,i,1,1.203303375,None,0,0,0,0,0,0,0,5,11.66009008,,0.319426375,0.325540833,2.996122458,11.61586712,space,8.420047708,None,11.64250192,11.66009008,12.16282904,12.61278946,12.61278946,13.82957529,i,1,1.203303375,None,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
IAT_block1.xlsx,1,胖图-按E键,瘦图-按I键,"接下来将进行第一部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
一会屏幕中央会先暂时出现一个十字，请注视它。
十字消失后会出现呈现一个词语
请在保证正确率的情况下尽快对其进行分类。
规则为：
胖图 - 按E键
瘦图 - 按I键
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro1.png,pic/anjianl1.png,pic/anjianr1.png,1,1,0,pic/thin4.png,i,0.796,0.622,space,8.420047708,None,i,1,1.380532833,None,0,0,0,0,0,1,1,7,13.85374412,,,,,,,,,13.84950117,13.85374412,14.35001613,14.82955637,14.82955637,16.21331117,i,1,1.380532833,None,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
IAT_block1.xlsx,1,胖图-按E键,瘦图-按I键,"接下来将进行第一部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
一会屏幕中央会先暂时出现一个十字，请注视它。
十字消失后会出现呈现一个词语
请在保证正确率的情况下尽快对其进行分类。
规则为：
胖图 - 按E键
瘦图 - 按I键
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro1.png,pic/anjianl1.png,pic/anjianr1.png,2,2,0,pic/fat4.png,e,0.796,0.528,space,8.420047708,None,e,1,0.693488124,None,0,0,0,0,0,2,2,3,16.24063775,,,,,,,,,16.23064012,16.24063775,16.74596287,17.19982862,17.19982862,17.896515,e,1,0.693488124,None,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
IAT_block1.xlsx,1,胖图-按E键,瘦图-按I键,"接下来将进行第一部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
一会屏幕中央会先暂时出现一个十字，请注视它。
十字消失后会出现呈现一个词语
请在保证正确率的情况下尽快对其进行分类。
规则为：
胖图 - 按E键
瘦图 - 按I键
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro1.png,pic/anjianl1.png,pic/anjianr1.png,3,3,0,pic/thin1.png,i,0.796,0.488,space,8.420047708,None,i,1,0.685749083,None,0,0,0,0,0,3,3,4,17.91906779,,,,,,,,,17.91455371,17.91906779,18.41526542,18.89613908,18.89613908,19.583704,i,1,0.685749083,None,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
IAT_block1.xlsx,1,胖图-按E键,瘦图-按I键,"接下来将进行第一部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
一会屏幕中央会先暂时出现一个十字，请注视它。
十字消失后会出现呈现一个词语
请在保证正确率的情况下尽快对其进行分类。
规则为：
胖图 - 按E键
瘦图 - 按I键
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro1.png,pic/anjianl1.png,pic/anjianr1.png,4,4,0,pic/fat1.png,e,0.796,0.528,space,8.420047708,None,e,1,0.834724958,None,0,0,0,0,0,4,4,0,19.60651058,,,,,,,,,19.60230329,19.60651058,20.09857933,20.58310262,20.58310262,21.42959075,e,1,0.834724958,None,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
IAT_block1.xlsx,1,胖图-按E键,瘦图-按I键,"接下来将进行第一部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
一会屏幕中央会先暂时出现一个十字，请注视它。
十字消失后会出现呈现一个词语
请在保证正确率的情况下尽快对其进行分类。
规则为：
胖图 - 按E键
瘦图 - 按I键
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro1.png,pic/anjianl1.png,pic/anjianr1.png,5,5,0,pic/fat2.png,e,0.796,0.528,space,8.420047708,None,e,1,0.726601833,None,0,0,0,0,0,5,5,1,21.45532608,,,,,,,,,21.45112871,21.45532608,21.94855008,22.42938421,22.42938421,23.16283567,e,1,0.726601833,None,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
IAT_block1.xlsx,1,胖图-按E键,瘦图-按I键,"接下来将进行第一部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
一会屏幕中央会先暂时出现一个十字，请注视它。
十字消失后会出现呈现一个词语
请在保证正确率的情况下尽快对其进行分类。
规则为：
胖图 - 按E键
瘦图 - 按I键
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro1.png,pic/anjianl1.png,pic/anjianr1.png,6,6,0,pic/thin3.png,i,0.796,0.622,space,8.420047708,None,i,1,0.721894791,None,0,0,0,0,0,6,6,6,23.18897821,,,,,,,,,23.18479533,23.18897821,23.68202787,24.14980825,24.14980825,24.87950562,i,1,0.721894791,None,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
IAT_block1.xlsx,1,胖图-按E键,瘦图-按I键,"接下来将进行第一部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
一会屏幕中央会先暂时出现一个十字，请注视它。
十字消失后会出现呈现一个词语
请在保证正确率的情况下尽快对其进行分类。
规则为：
胖图 - 按E键
瘦图 - 按I键
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro1.png,pic/anjianl1.png,pic/anjianr1.png,7,7,0,pic/fat3.png,e,0.796,0.528,space,8.420047708,None,e,1,0.681360041,None,0,0,0,0,0,7,7,2,24.90525958,,,,,,,,,24.90090071,24.90525958,25.41273013,25.86625296,25.86625296,26.56322046,e,1,0.681360041,None,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
IAT_block1.xlsx,1,胖图-按E键,瘦图-按I键,"接下来将进行第一部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
一会屏幕中央会先暂时出现一个十字，请注视它。
十字消失后会出现呈现一个词语
请在保证正确率的情况下尽快对其进行分类。
规则为：
胖图 - 按E键
瘦图 - 按I键
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro1.png,pic/anjianl1.png,pic/anjianr1.png,0,0,0,,,,,space,8.420047708,None,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
IAT_block2.xlsx,1,期待词-按E键,中性词-按I键,"接下来将进行第二部分测试。
请将你左手和右手的食指部分分别放在键盘的E键和I键上。
该部分流程与之前相同，只是规则发生了轻微的变化
规则为：
期待词 - 按E键
中性词 - 按I键
请在保证正确率的情况下尽快对其进行分类。
如果你已明白规则，请按空格开始测试。
如果有任何疑问，请联系实验员。",pic/intro2.png,pic/anjianl2.png,pic/anjianr2.png,0,0,0,pic/want1.png,e,0.5225,0.261,space,4.617308166,None,i,0,1.362464916,None,0,1,1,1,0,0,0,0,34.20402337,,26.83849104,26.84566867,29.55009854,34.17950275,space,4.617308166,None,34.19955633,34.20402337,34.69855275,35.16587217,35.16587217,36.53007175,i,0,1.362464916,None,21,1,2025-09-18_09h51.11.945,IAT_block_loop1after,,2025.1.1,None,2025-09-18 09h51.27.788015 +0800
